epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,1.389209,50.0633,1.093278,60.4000
2,0.863659,69.8939,0.784765,72.5000
3,0.661974,77.2551,0.564039,81.5000
4,0.538106,81.3306,0.419156,85.1000
5,0.444506,84.7082,0.374326,86.4000
6,0.363779,87.3959,0.327641,88.8000
7,0.288566,89.9796,0.269637,89.9000
8,0.234738,91.8898,0.266158,91.1000
9,0.191594,93.2755,0.152342,94.4000
10,0.156260,94.5469,0.109732,95.9000
11,0.137338,95.2061,0.118786,95.9000
12,0.114694,95.9714,0.103069,96.6000
13,0.101558,96.5673,0.077703,97.5000
14,0.092861,96.7673,0.063764,97.8000
15,0.082794,97.1388,0.050915,98.1000
16,0.078599,97.1878,0.070730,97.6000
17,0.074205,97.4571,0.031185,99.1000
18,0.066528,97.6735,0.045086,98.4000
19,0.060998,97.8061,0.033087,98.7000
20,0.059671,97.9184,0.055664,98.6000
